Event,White,Black,Result,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,TimeControl,Termination,AN
 Classical ,novaria-ivan,EL-MATAPICHONES,0-1,1500,2012,-30.0,2.0,C11,600+10,Normal,1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 c5 6. Be3 Nc6 7. Be2 Be7 8. O-O O-O 9. Qd2 b6 10. Rfd1 f6 11. exf6 Nxf6 12. Bg5 Bd7 13. dxc5 bxc5 14. Bb5 a6 15. Bxc6 Bxc6 16. Bxf6 Rxf6 17. Ne5 Qb6 18. Nxc6 Qxc6 19. Ne2 Raf8 20. f3 c4 21. b3 Qb6+ 22. Kh1 Bb4 23. c3 Bc5 24. bxc4 dxc4 25. Rab1 Qc7 26. Qd7 Qe5 27. Ng3 Qxg3 28. Rb7 Rh6 29. Qf7+ Rxf7 30. Rd8+ Rf8 0-1
 Classical ,brkylvc,jergiovenile,0-1,1577,1833,-5.0,5.0,A43,600+0,Normal,1. d4 c5 2. e3 cxd4 3. Qxd4 Nc6 4. Qd1 d6 5. Nf3 Bf5 6. Bd3 Qd7 7. O-O Nf6 8. Nc3 e5 9. e4 Bg4 10. h3 Bh5 11. a3 Nd4 12. Qd2 Bxf3 13. Qe3 Bh5 14. b4 a6 15. Rb1 b5 16. Bb2 Rc8 17. Ra1 Be7 18. a4 O-O 19. axb5 axb5 20. Nd5 Nxd5 21. exd5 Nf5 22. Qe4 Bg6 23. Qg4 h5 24. Qf3 Nh4 25. Qe2 f5 26. g3 e4 27. Bxb5 Qd8 28. gxh4 Bxh4 29. Qe3 f4 30. Qd4 Rc7 31. Rae1 Qg5+ 32. Kh1 f3 33. Rg1 Qf5 34. Kh2 Qf4+ 35. Kh1 Rf6 36. Bc1 Qf5 37. Qb6 Qxh3# 0-1
 Classical ,yudodistome,d12345,0-1,1388,2136,0.0,1.0,A00,600+0,Normal,1. e3 { [%eval 0.17] } 1... f5 { [%eval 0.5] } 2. Nc3 { [%eval 0.34] } 2... Nf6 { [%eval 0.32] } 3. d4 { [%eval 0.33] } 3... c6 { [%eval 0.55] } 4. Bd3 { [%eval 0.56] } 4... d6 { [%eval 0.67] } 5. Qe2 { [%eval 0.45] } 5... e6 { [%eval 0.76] } 6. Nb5?? { [%eval -2.78] } 6... cxb5 { [%eval -2.83] } 7. Bxb5+ { [%eval -2.78] } 7... Nc6 { [%eval -2.79] } 8. Bxc6+ { [%eval -3.06] } 8... bxc6 { [%eval -2.94] } 9. Qc4 { [%eval -3.28] } 9... Bd7 { [%eval -3.18] } 10. Nf3 { [%eval -3.17] } 10... Ne4 { [%eval -3.05] } 11. Qe2 { [%eval -3.06] } 11... Rb8 { [%eval -3.05] } 12. Nd2 { [%eval -3.09] } 12... d5 { [%eval -2.89] } 13. O-O { [%eval -3.18] } 13... Bd6 { [%eval -3.21] } 14. g3?! { [%eval -3.81] } 14... h5 { [%eval -3.73] } 15. a3 { [%eval -4.13] } 15... h4 { [%eval -3.93] } 16. f3?? { [%eval -10.08] } 16... Nxd2?? { [%eval -6.46] } 17. Qxd2?? { [%eval -9.94] } 17... hxg3 { [%eval -8.98] } 18. Qg2? { [%eval -13.38] } 18... gxh2+?? { [%eval -5.42] } 19. Kf2?? { [%eval -12.56] } 19... Qh4+ { [%eval -12.33] } 20. Ke2 { [%eval -12.19] } 20... h1=Q { [%eval -11.98] } 21. Qg6+ { [%eval -21.77] } 21... Kd8 { [%eval -20.82] } 22. Rxh1?! { [%eval #-9] } 22... Qxh1 { [%eval #-8] } 23. Qxg7 { [%eval #-3] } 23... Rh2+ { [%eval #-2] } 24. Kd3 { [%eval #-2] } 24... Qf1+ { [%eval #-1] } 25. Kc3 { [%eval #-1] } 25... Qc4# 0-1
 Classical ,Dave2336,kedjarett,0-1,1572,1883,-3.0,11.0,B40,900+5,Normal,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bc4 b5 7. Bb3 b4 8. Na4 Nxe4 9. O-O d5 10. Qe1 Be7 11. c3 bxc3 12. bxc3 O-O 13. c4 Bb7 14. c5 Nxc5 15. Nxc5 Bxc5 16. Nf3 Nc6 17. Bd2 Qd6 18. Qb1 Rab8 19. Ng5 g6 20. Qc1 Nd4 21. Bf4 e5 22. Bg3 Ne2+ 23. Kh1 Nxc1 24. Raxc1 Qe7 25. Nf3 Bd6 26. Bh4 Qd7 27. Bg3 f5 28. Bxe5 Bxe5 29. Nxe5 Qd6 30. Rfe1 Kg7 31. Ba4 Rbc8 32. Rcd1 d4 33. Nd7 Rf7 34. Ne5 Re7 35. Nf3 Rxe1+ 36. Nxe1 a5 37. h3 Ba6 38. Nc2 d3 39. Ne1 d2 40. Nf3 Rc1 41. Nxd2 Rxd1+ 42. Bxd1 Qxd2 43. Bb3 Qxf2 44. Bd5 Bf1 45. a3 f4 46. a4 h5 47. h4 Qxh4+ 48. Kg1 Bd3 49. Bf3 g5 50. Bd5 g4 51. Bc6 g3 52. Bd5 Qh2# 0-1
 Classical ,lucho_mons,Eddy2017,0-1,1452,2185,0.0,1.0,D01,480+0,Time forfeit,1. d4 d5 2. Nc3 Nf6 3. Bf4 c6 4. Qd3 g6 5. O-O-O Bg7 6. f3 Na6 7. e4 dxe4 8. fxe4 O-O 9. e5 Nd5 10. Nge2 Nab4 11. Qc4 a5 12. a3 Nxf4 13. Nxf4 Bh6 14. g3 Be6 15. d5 cxd5 16. Nxd5 Nxd5 17. Qb5 Ra6 18. Kb1 Nc7 19. Qe2 Qc8 20. h4 Rc6 21. c3 Bxf4 22. gxf4 Bf5+ 23. Kc1 b5 24. h5 b4 25. hxg6 Bxg6 0-1
 Classical ,mfikret,emirogluk,0-1,1667,1951,-4.0,4.0,C55,900+0,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 h6 4. Nc3 d6 5. d4 exd4 6. Nxd4 Nxd4 7. Qxd4 Qf6 8. Qe3 Be6 9. Nd5 Bxd5 10. exd5+ Qe5 11. Qxe5+ dxe5 12. O-O O-O-O 13. f4 exf4 14. Bxf4 Nf6 15. Be3 a6 16. a3 Nxd5 17. Bxd5 Rxd5 18. Rxf7 g5 19. c3 Bd6 20. Bd4 Bc5 21. Rd1 Rhd8 22. Kh1 Bxd4 23. Rxd4 Rxd4 24. cxd4 Rxd4 25. Rh7 Rd1# 0-1
 Classical ,ameame,MrezaNargesi,0-1,1485,1921,-1.0,1.0,C01,600+8,Normal,1. e4 e6 2. Nf3 d5 3. d4 dxe4 4. Ng5 Nf6 5. Nc3 Bb4 6. Bd2 Qxd4 7. a3 Bxc3 8. bxc3 Qd5 9. c4 Qd4 10. c3 Qd8 11. Qc2 e3 12. Bxe3 Ng4 13. Bd4 Qxg5 14. Be2 e5 15. Bc5 b6 16. Qa4+ Bd7 17. Qd1 Nf6 18. Be3 Qg6 19. O-O e4 20. Qd2 Bh3 21. g3 Bxf1 22. Bxf1 O-O 23. c5 Nc6 24. Bg2 Ne5 25. cxb6 Nf3+ 26. Bxf3 exf3 27. bxc7 Qh5 28. Qd1 Ng4 29. h4 Ne5 30. Rb1 Qg4 31. Kh2 Nc4 32. Bxa7 g5 33. Rb8 gxh4 34. c8=Q Rxc8 35. Rxc8+ Rxc8 36. Qd4 hxg3+ 37. fxg3 Qh5+ 38. Qh4 Qxh4+ 39. gxh4 Nd2 40. Bd4 Re8 41. a4 Re2+ 42. Kg1 Ne4 43. a5 Re1+ 44. Kh2 f2 45. Bxf2 Nxf2 46. a6 Ne4 47. a7 Ra1 48. c4 Rxa7 49. Kg2 Rc7 50. Kf3 Rxc4 51. Ke3 Nf6 52. Kd3 Rxh4 53. Kc3 Kf8 54. Kd3 Ke7 55. Ke3 Kd6 56. Kf3 Ke5 57. Kg3 Rg4+ 58. Kf3 h5 59. Kf2 h4 60. Kf3 h3 0-1
 Classical ,tusco,caballo3d,0-1,1507,1918,-2.0,3.0,C20,300+10,Normal,1. e4 e5 2. Nc3 Nf6 3. f3 Bc5 4. d3 h6 5. Qe2 O-O 6. Be3 Be7 7. g4 c5 8. b3 d5 9. exd5 Nxd5 10. Nxd5 Qxd5 11. c4 Qc6 12. Bh3 Bf6 13. a4 Re8 14. O-O-O Na6 15. Bd2 Nb4 16. Bxb4 cxb4 17. Qf2 Qd6 18. Ne2 Bg5+ 19. Kc2 Be6 20. Rhe1 Rac8 21. Ng3 b5 22. axb5 a5 23. bxa6 Qxa6 24. Ra1 Qc6 25. Red1 Red8 26. Ne4 Be7 27. Rd2 f6 28. Rad1 Ra8 29. Bg2 Qa6 30. h4 Qa2+ 31. Kc1 Qa1+ 32. Kc2 Ra2# 0-1
 Classical ,KGB_1980,edgardsy,0-1,1470,1887,-2.0,2.0,C50,480+0,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d3 Bc5 5. Ng5 O-O 6. O-O d6 7. Nc3 Nd4 8. Be3 Bg4 9. Nf3 Nxf3+ 10. gxf3 Bh3 11. Re1 c6 12. f4 b5 13. fxe5 Ng4 14. Bb3 Nxe5 15. Qh5 Bg4 16. Bg5 Bxh5 17. Bxd8 Nf3+ 18. Kf1 Nxe1 19. Be7 Rfe8 20. Bh4 Nf3 21. Bg3 a5 22. Ne2 a4 23. Nf4 Bg4 24. d4 Bxd4 25. Ne2 Bxb2 26. Rb1 Ba3 27. Rd1 axb3 28. Bxd6 Bxd6 29. Rxd6 bxa2 30. Rd1 a1=Q 31. Rxa1 Rxa1+ 32. Kg2 Ne1+ 0-1
 Classical ,jakarta95,AntuanArutyunyan,0-1,1639,2036,-2.0,2.0,C30,600+0,Normal,1. e4 e5 2. f4 d6 3. Nf3 Nc6 4. Bc4 Be7 5. O-O Nf6 6. f5 Nxe4 7. d3 Nf6 8. Ng5 O-O 9. a3 d5 10. Bb3 h6 11. Nf3 e4 12. dxe4 dxe4 13. Qxd8 Rxd8 14. Nh4 Nd4 15. Bc4 Nxc2 16. Ra2 Nd4 17. b4 c6 18. Nd2 b5 19. Ng6 Bd6 20. Bb3 Nxb3 21. Nxb3 fxg6 22. fxg6 Be6 23. Rb2 Be5 24. Rb1 Bc4 25. Rxf6 Bxf6 26. Bf4 Rd3 27. Nc5 Bd4+ 28. Kh1 Bxc5 29. bxc5 Rxa3 30. h3 e3 31. Re1 e2 32. Kh2 Rd8 33. Bg3 Rd1 34. Rg1 Rxg1 35. Kxg1 Ra1+ 36. Kh2 e1=Q 37. Bxe1 Rxe1 38. h4 Kf8 39. h5 Ke7 40. Kh3 Kf6 41. Kg4 Re4+ 42. Kf3 Bd5 43. Kg3 Kg5 44. Kh3 Re3+ 45. Kh2 Kg4 46. g3 a5 47. Kg1 Kxg3 48. Kf1 a4 49. Kg1 Re1# 0-1
 Classical ,ivanbcee04,Lacordaire,0-1,1609,1923,-4.0,4.0,A00,360+6,Normal,1. b4 a5 2. bxa5 Rxa5 3. Bb2 Nf6 4. Nf3 d6 5. e3 e5 6. d3 Be7 7. Qd2 Ra8 8. Be2 O-O 9. O-O Nc6 10. Nc3 Be6 11. e4 Nb4 12. a3 Nc6 13. Ng5 Bd7 14. Nd5 Nxd5 15. exd5 Bxg5 0-1
 Classical ,patosov,jacmty,0-1,1598,1911,-3.0,4.0,A10,480+5,Normal,1. c4 f5 2. Nc3 Nf6 3. b3 c6 4. Bb2 e6 5. Nf3 Be7 6. e3 O-O 7. d4 d5 8. Bd3 Ne4 9. Ne5 Nd7 10. Nxe4 fxe4 11. Nxd7 Bxd7 12. Bc2 Bb4+ 13. Ke2 Qf6 14. Rf1 Bd6 15. cxd5 exd5 16. h3 Bb4 17. a3 Ba5 18. b4 Bc7 19. f4 exf3+ 20. Rxf3 Qh4 21. Qd3 Rxf3 22. gxf3 Qxh3 23. Kd2 Rf8 24. f4 Bf5 25. Qe2 Bg4 26. Qf2 Bf3 27. b5 Ba5+ 28. Bc3 Bxc3+ 29. Kxc3 cxb5 30. Rb1 Rc8+ 31. Kd3 a6 32. Bb3 Be4+ 33. Kd2 Bxb1 34. Bxd5+ Kh8 35. Bb3 Qf5 36. Ke1 Rc1+ 37. Bd1 Qd3 38. Qh4 Qxe3+ 39. Kf1 Rxd1+ 40. Kg2 Rg1+ 41. Kh2 h6 42. Qe7 Qg3# 0-1
 Classical ,arsenalfanrichi,OscarMartinez1984,1-0,1691,1934,19.0,-17.0,B00,600+0,Time forfeit,1. e4 b6 2. d4 e6 3. Nf3 h6 4. Nc3 a6 5. Bd3 d6 6. O-O Bb7 7. Be3 Nd7 8. d5 e5 9. Bc4 Ngf6 10. Bb3 Nh7 11. Qd2 Be7 12. Ne2 Ng5 13. Nxg5 Bxg5 14. Bxg5 hxg5 15. Ng3 g4 16. Nf5 Qf6 17. c4 g6 18. Ng3 Qh4 19. h3 gxh3 20. Rfd1 hxg2 21. Kxg2 Qh3+ 22. Kf3 Nf6 23. Rh1 Qg4+ 24. Kg2 O-O-O 25. Rxh8 Rxh8 26. Bd1 Qd7 27. Qg5 Nh5 28. Nxh5 Rxh5 29. Bxh5 gxh5 30. Qg8+ 1-0
 Classical ,bardame,Rayloolxd,1-0,1674,1827,15.0,-16.0,C41,360+6,Normal,1. e4 e5 2. Nf3 d6 3. Bb5+ c6 4. Ba4 Bg4 5. d3 Bxf3 6. Qxf3 Qf6 7. Nd2 Nd7 8. Qe2 Be7 9. Nf3 h6 10. b3 O-O-O 11. Bb2 g5 12. b4 h5 13. Qe3 g4 14. Nd2 Kb8 15. d4 h4 16. d5 c5 17. bxc5 Nxc5 18. Bb3 Rh7 19. O-O-O Qg5 20. Qc3 Nxe4 21. Qd3 Nxf2 22. Qxh7 Nxh1 23. Rxh1 Qg6 24. Qxg6 fxg6 25. Ne4 Nf6 26. Nxf6 Bxf6 27. Rf1 Bg5+ 28. Kb1 Bh6 29. c4 g3 30. hxg3 hxg3 31. Rf3 Bf4 32. Bc1 Rf8 33. Ba3 Rf6 34. c5 dxc5 35. Bxc5 b6 36. Be7 Rf7 37. d6 Rh7 1-0
 Classical ,mindfreak,zemheri,1-0,1664,1978,17.0,-141.0,D00,300+8,Normal,1. d4 d5 2. e3 a6 3. Nf3 Bg4 4. a3 e6 5. Be2 h6 6. h3 Bh5 7. O-O Nf6 8. c4 c5 9. cxd5 Nxd5 10. Nc3 Nf6 11. Qa4+ b5 12. Nxb5 cxd4 13. Nc7+ 1-0
 Classical ,NotHere2Chat,zfab,1-0,1291,1913,27.0,-44.0,A00,120+20,Normal,1. h4 { [%eval -0.15] } 1... d5 { [%eval -0.13] } 2. f3? { [%eval -1.17] } 2... e5 { [%eval -1.08] } 3. g4? { [%eval -2.51] } 3... h6? { [%eval -1.27] } 4. d4 { [%eval -1.64] } 4... e4? { [%eval -0.52] } 5. Bg2 { [%eval -0.61] } 5... exf3?! { [%eval -0.1] } 6. Bxf3?! { [%eval -0.6] } 6... Be7 { [%eval -0.48] } 7. h5?! { [%eval -1.45] } 7... Bh4+?! { [%eval -0.7] } 8. Kf1 { [%eval -0.63] } 8... Be7 { [%eval -0.81] } 9. Nd2 { [%eval -0.91] } 9... c6 { [%eval -0.89] } 10. b3 { [%eval -1.28] } 10... Nf6 { [%eval -1.23] } 11. Bb2? { [%eval -2.75] } 11... Nxg4 { [%eval -2.65] } 12. Qe1?? { [%eval -11.15] } 12... Ne3+ { [%eval -11.06] } 13. Kf2 { [%eval -11.23] } 13... Nxc2 { [%eval -11.06] } 14. Qd1?! { [%eval #-3] } 14... Nxa1?? { [%eval -5.65] } 15. Qxa1 { [%eval -5.66] } 15... Bf5?! { [%eval -4.93] } 16. e4 { [%eval -4.79] } 16... dxe4 { [%eval -5.09] } 17. Bxe4 { [%eval -5.13] } 17... Bxe4 { [%eval -5.08] } 18. Nxe4 { [%eval -5.11] } 18... Nd7 { [%eval -5.04] } 19. Nf3 { [%eval -5.08] } 19... Qb6?! { [%eval -4.17] } 20. Rg1 { [%eval -4.43] } 20... O-O { [%eval -4.44] } 21. Qc1 { [%eval -4.33] } 21... Nf6 { [%eval -3.98] } 22. Nxf6+ { [%eval -3.78] } 22... Bxf6 { [%eval -3.93] } 23. Qxh6 { [%eval -3.83] } 23... Qd8?! { [%eval -3.03] } 24. Qf4 { [%eval -3.01] } 24... c5?! { [%eval -2.27] } 25. h6 { [%eval -2.35] } 25... g6 { [%eval -2.1] } 26. Ba3?! { [%eval -3.08] } 26... b6? { [%eval -1.74] } 27. dxc5 { [%eval -1.22] } 27... Kh7?? { [%eval 3.43] } 28. c6 { [%eval 2.99] } 28... Re8?? { [%eval 13.7] } 29. c7 { [%eval 12.06] } 29... Bh4+ { [%eval 28.02] } 30. Nxh4 { [%eval 21.76] } 30... Qd5 { [%eval 55.19] } 31. Nf3 { [%eval 20.66] } 31... Re2+ { [%eval 68.89] } 32. Kxe2 { [%eval 31.1] } 32... Qb5+?! { [%eval #9] } 33. Kf2 { [%eval #8] } 1-0
 Classical ,rksakrir,Mephistopheles13,1-0,1674,1802,15.0,-15.0,B20,300+8,Normal,1. e4 { [%eval 0.2] } 1... c5 { [%eval 0.32] } 2. Bc4 { [%eval -0.06] } 2... e6 { [%eval 0.03] } 3. Nc3 { [%eval -0.04] } 3... Nc6 { [%eval -0.02] } 4. Nf3 { [%eval -0.02] } 4... Nge7 { [%eval 0.4] } 5. a4 { [%eval -0.05] } 5... d5 { [%eval -0.07] } 6. exd5 { [%eval -0.1] } 6... exd5 { [%eval -0.08] } 7. Bb5 { [%eval -0.33] } 7... Bd7?! { [%eval 0.56] } 8. d4 { [%eval 0.15] } 8... c4?! { [%eval 1.06] } 9. Bxc6?! { [%eval 0.28] } 9... Bxc6?! { [%eval 0.96] } 10. Bg5? { [%eval -0.22] } 10... h6 { [%eval -0.17] } 11. Bh4 { [%eval -0.2] } 11... g5 { [%eval -0.29] } 12. Bg3 { [%eval -0.13] } 12... Nf5?! { [%eval 0.42] } 13. Qe2+?! { [%eval -0.26] } 13... Be7?! { [%eval 0.56] } 14. Ne5 { [%eval 0.4] } 14... O-O { [%eval 0.47] } 15. Nxc6? { [%eval -0.62] } 15... bxc6 { [%eval -0.55] } 16. Qd2?! { [%eval -1.1] } 16... Qb6 { [%eval -1.09] } 17. O-O-O? { [%eval -3.69] } 17... Bf6? { [%eval -1.42] } 18. h4? { [%eval -3.46] } 18... g4? { [%eval -0.48] } 19. Bf4?? { [%eval -3.51] } 19... h5? { [%eval -0.79] } 20. Be5? { [%eval -3.06] } 20... Bxe5 { [%eval -3.27] } 21. dxe5 { [%eval -3.34] } 21... Rfe8? { [%eval -1.18] } 22. Qg5+ { [%eval -1.51] } 1-0
 Classical ,fanatiskur67,halepli,0-1,1672,1866,-5.0,6.0,C23,600+0,Normal,1. e4 e5 2. Bc4 Qf6 3. d3 Bc5 4. Qf3 Qxf3 5. Nxf3 Nf6 6. Nxe5 O-O 7. Bg5 d6 8. Nf3 Ng4 9. Bh4 Be6 10. Nbd2 h6 11. h3 Ne5 12. Nxe5 dxe5 13. O-O-O Nc6 14. c3 Bxc4 15. Nxc4 f6 16. g4 b5 17. Nd2 Rad8 18. Nf3 b4 19. c4 b3 20. axb3 Nb4 21. Ne1 Rd6 22. Bg3 Rfd8 23. f4 Nxd3+ 24. Nxd3 Rxd3 25. Rxd3 Rxd3 26. Kc2 Rxg3 27. fxe5 fxe5 28. Kb1 Bd4 29. Ka2 Rg2 30. Rb1 Rh2 0-1
 Classical ,toofan2020,moi6,1-0,1633,1813,17.0,-21.0,C44,600+0,Normal,1. e4 e5 2. Nf3 Nc6 3. Bd3 Nf6 4. h3 Bc5 5. c3 d5 6. exd5 Nxd5 7. Bc2 O-O 8. O-O Re8 9. d4 exd4 10. cxd4 Bb6 11. Bg5 Qd6 12. Na3 Ndb4 13. Nb5 Qd7 14. Bb1 a6 15. Nc3 Nxd4 16. Nxd4 Qxd4 17. Qh5 g6 18. Qh6 Be6 19. Re1 Qxf2+ 20. Kh2 Bd4 21. Be4 Be5+ 22. Kh1 Bf6 23. Rf1 Bxg5 24. Qxg5 Qxb2 25. Na4 Qd4 26. Bxb7 Rab8 27. Rad1 Qg7 28. Nc5 Nxa2 29. Bxa6 Nc3 30. Rde1 Rb6 31. Nxe6 Rexe6 32. Bc4 Rxe1 33. Qd8+ Qf8 34. Bxf7+ Kg7 35. Qd4+ Kh6 36. Qd2+ Kg7 37. Qxe1 Rb1 38. Qxc3+ Kh6 39. Qe3+ Kg7 40. Qe5+ Kh6 41. Qf4+ Kg7 42. Rxb1 Qd6 43. Qxd6 cxd6 44. Rb6 Kxf7 45. Rxd6 Kg7 46. g3 h5 47. h4 Kf7 48. Kg2 Kg7 49. Kf3 Kh6 50. Kf4 Kg7 51. Kg5 Kf7 52. Rxg6 Ke7 53. Kxh5 Kf7 54. Ra6 Kg7 55. g4 Kf7 56. g5 Kg7 57. g6 Kg8 58. Kh6 Kf8 59. g7+ Kg8 60. h5 Kf7 61. Kh7 Ke7 62. h6 Kd7 63. g8=Q Kc7 64. Qg6 Kb7 65. Re6 Kc7 66. Qg7+ Kd8 67. Rf6 Ke8 68. Rf7 Kd8 69. Qg8# 1-0
 Classical ,ar0nne,RGoossen,0-1,1576,1890,-3.0,8.0,A06,300+10,Time forfeit,1. Nf3 d5 2. e3 g6 3. b3 Bg7 4. d4 Nf6 5. Bb2 Bf5 6. Nbd2 c5 7. dxc5 O-O 8. h3 Qa5 9. c3 Qxc5 10. Nd4 Bd7 11. g4 e5 12. b4 Qe7 13. Nb5 Bxb5 14. Bxb5 a6 15. Be2 Nc6 16. h4 e4 17. h5 Rfd8 18. h6 Bh8 19. Qc2 Ne5 20. Rg1 Rac8 21. O-O-O Nfd7 22. f4 exf3 23. Nxf3 Nxf3 24. Bxf3 Qxe3+ 25. Qd2 Qxf3 26. Rdf1 Qe4 27. Re1 Qxb4 0-1
 Classical ,MaxVyhryst,Pharmoniste,0-1,1562,1810,-5.0,5.0,B20,1800+0,Normal,1. e4 c5 2. c4 d6 3. h3 Nc6 4. Qa4 Nf6 5. d3 Bd7 6. Qb5 Nd4 7. Qxb7 Nc2+ 8. Kd2 Nxa1 9. Nc3 g6 10. a3 a5 11. Nd5 Nxd5 12. Qxd5 a4 13. Nf3 Bh6+ 14. Kd1 Bxc1 15. Kxc1 Nb3+ 16. Kd1 O-O 17. Ng5 Rb8 18. Be2 Qa5 19. Nf3 Nd4 20. h4 Nxe2 21. h5 Nc3+ 22. bxc3 Rb1+ 23. Ke2 Rxh1 24. hxg6 hxg6 25. Kd2 Rb8 26. Ng5 Rb2+ 27. Ke3 e6 28. Nxe6 Bxe6 29. Qxd6 Qxc3 30. Qd8+ Kg7 31. f4 Qd2+ 32. Kf3 Qxg2+ 33. Ke3 Qe2# 0-1
 Classical ,HectorDaniel,Lacordaire,0-1,1607,1927,-3.0,3.0,B87,360+6,Normal,1. e4 { [%eval 0.12] } 1... c5 { [%eval 0.33] } 2. Nf3 { [%eval 0.32] } 2... d6 { [%eval 0.33] } 3. d4 { [%eval 0.29] } 3... cxd4 { [%eval 0.2] } 4. Nxd4 { [%eval 0.3] } 4... Nf6 { [%eval 0.34] } 5. Nc3 { [%eval 0.27] } 5... a6 { [%eval 0.29] } 6. Bc4 { [%eval 0.17] } 6... e6 { [%eval 0.18] } 7. Bb3 { [%eval 0.1] } 7... b5 { [%eval 0.41] } 8. Bg5 { [%eval 0.01] } 8... Be7 { [%eval 0.22] } 9. f4?! { [%eval -0.36] } 9... O-O { [%eval -0.23] } 10. Qf3 { [%eval -0.39] } 10... e5?! { [%eval 0.18] } 11. Nde2 { [%eval -0.3] } 11... Bb7?! { [%eval 0.22] } 12. Bxf6 { [%eval -0.27] } 12... Bxf6 { [%eval -0.2] } 13. O-O-O { [%eval -0.31] } 13... Qc7 { [%eval 0.14] } 14. Bd5?! { [%eval -0.63] } 14... Nc6 { [%eval -0.67] } 15. g4 { [%eval -1.05] } 15... b4?! { [%eval -0.31] } 16. Nb1? { [%eval -2.49] } 16... exf4 { [%eval -2.36] } 17. Nxf4?! { [%eval -3.08] } 17... Nd4? { [%eval -1.81] } 18. Qf2? { [%eval -3.59] } 18... Rac8? { [%eval -1.74] } 19. Rd2 { [%eval -1.6] } 19... a5? { [%eval 0.42] } 20. Nh5?? { [%eval -7.08] } 20... Bg5 { [%eval -6.4] } 21. Qxd4?? { [%eval #-1] } 21... Qxc2# 0-1
 Classical ,nassimabdallah22,rodeo,1-0,1677,1836,17.0,-16.0,A43,600+10,Normal,1. d4 { [%eval 0.17] } 1... c5 { [%eval 0.43] } 2. c3 { [%eval 0.0] } 2... d5 { [%eval 0.14] } 3. Nf3 { [%eval 0.1] } 3... Nc6 { [%eval 0.55] } 4. e3?! { [%eval -0.03] } 4... cxd4 { [%eval 0.36] } 5. cxd4?! { [%eval -0.19] } 5... Bf5 { [%eval -0.1] } 6. a3 { [%eval -0.17] } 6... e6 { [%eval -0.17] } 7. Nc3 { [%eval -0.19] } 7... Bd6 { [%eval -0.15] } 8. Bd3 { [%eval -0.14] } 8... Bxd3 { [%eval -0.22] } 9. Qxd3 { [%eval -0.19] } 9... Nf6 { [%eval -0.12] } 10. O-O { [%eval -0.18] } 10... O-O { [%eval -0.2] } 11. Nd2 { [%eval -0.48] } 11... a6 { [%eval -0.41] } 12. f3 { [%eval -0.79] } 12... Qc7 { [%eval -0.88] } 13. Kh1 { [%eval -1.36] } 13... Bxh2 { [%eval -1.4] } 14. e4?? { [%eval -6.45] } 14... Bf4?? { [%eval -1.59] } 15. e5? { [%eval -2.93] } 15... Nd7? { [%eval -0.88] } 16. Ne2 { [%eval -0.88] } 16... Bh6 { [%eval -0.93] } 17. Nb3 { [%eval -0.99] } 17... Bxc1 { [%eval -0.81] } 18. Raxc1 { [%eval -0.89] } 18... Rfc8 { [%eval -0.9] } 19. f4 { [%eval -0.7] } 19... Nb6 { [%eval -0.46] } 20. Rf3 { [%eval -0.68] } 20... Nc4?! { [%eval -0.16] } 21. Rh3 { [%eval -0.31] } 21... g6 { [%eval -0.16] } 22. Qg3 { [%eval -0.26] } 22... Qb6 { [%eval 0.0] } 23. Nc5 { [%eval 0.0] } 23... Qxb2?! { [%eval 0.69] } 24. Qg5 { [%eval 0.92] } 24... Qxe2?? { [%eval 9.56] } 25. Qh6 { [%eval 8.53] } 25... Rc7? { [%eval #4] } 26. Qxh7+ { [%eval #3] } 26... Kf8 { [%eval #3] } 27. Qh8+ { [%eval #2] } 27... Ke7 { [%eval #2] } 28. Qf6+ { [%eval #1] } 28... Ke8 { [%eval #1] } 29. Rh8# 1-0
